title,id,pub_date,cited_by_count,referenced_works_count
"Simulated bifurcation assisted by thermal fluctuation",https://openalex.org/W4282936313,2022-06-14,20,53
"Benchmark of quantum-inspired heuristic solvers for quadratic unconstrained binary optimization",https://openalex.org/W3159402472,2022-02-09,44,32
"3-regular three-XORSAT planted solutions benchmark of classical and quantum heuristic optimizers",https://openalex.org/W3135923901,2022-01-19,36,101
"Simulated bifurcation for higher-order cost functions",https://openalex.org/W4311446855,2022-12-14,16,30
"Distance-based clustering using QUBO formulations",https://openalex.org/W4213047572,2022-02-17,22,36
"A Currency Arbitrage Machine Based on the Simulated Bifurcation Algorithm for Ultrafast Detection of Optimal Opportunity",https://openalex.org/W3090309300,2020-09-29,16,11
"Bifurcation behaviors shape how continuous physical dynamics solves discrete Ising optimization",https://openalex.org/W4367669643,2023-05-02,11,52
"Formation of Amorphous Carbon Multi‐Walled Nanotubes from Random Initial Configurations",https://openalex.org/W4312206542,2022-12-30,17,95
"Detecting Stability and Bifurcation Points in Control-Based Continuation for a Physical Experiment of the Zeeman Catastrophe Machine",https://openalex.org/W4381737231,2023-06-23,6,34
"QUBO.jl: A Julia Ecosystem for Quadratic Unconstrained Binary Optimization",https://openalex.org/W4383604367,2023-01-01,6,0
"Distinguishing between histories of speciation and introgression using genomic data",https://openalex.org/W4295074157,2022-09-09,11,48
"Massively Simulating Adiabatic Bifurcations with FPGA to Solve Combinatorial Optimization",https://openalex.org/W3008950475,2020-02-23,8,22
"Extrapolating tipping points and simulating non-stationary dynamics of complex systems using efficient machine learning",https://openalex.org/W4390581156,2024-01-04,5,30
"Real-Time Trading System Based on Selections of Potentially Profitable, Uncorrelated, and Balanced Stocks by NP-Hard Combinatorial Optimization",https://openalex.org/W4387886337,2023-01-01,9,63
"Performance of quantum annealing inspired algorithms for combinatorial optimization problems",https://openalex.org/W4400814592,2024-07-19,3,51
"Bi-Furcated Stator Winding Configuration in Three-Phase Induction Generators for Wind Power Generation",https://openalex.org/W3213249988,2021-01-01,3,33
"A data-driven computational methodology towards a pre-hospital Acute Ischaemic Stroke screening tool using haemodynamics waveforms",https://openalex.org/W4389913485,2023-12-19,6,25
"Large-scale combinatorial optimization in real-time systems by FPGA-based accelerators for simulated bifurcation",https://openalex.org/W3174396795,2021-06-21,4,13
"Efficient and Scalable Architecture for Multiple-Chip Implementation of Simulated Bifurcation Machines",https://openalex.org/W4392449935,2024-01-01,4,42
"On connection among quantum-inspired algorithms of the Ising model",https://openalex.org/W4387447765,2023-01-01,2,40
"Pairs-Trading System Using Quantum-Inspired Combinatorial Optimization Accelerator for Optimal Path Search in Market Graphs",https://openalex.org/W4386824985,2023-01-01,7,48
"Stability and Bifurcation Analysis in Turning of Flexible Parts with Spindle Speed Variation Using FEM Simulation Data",https://openalex.org/W4362469818,2023-03-31,3,38
"Correlation-Diversified Portfolio Construction by Finding Maximum Independent Set in Large-Scale Market Graph",https://openalex.org/W4389633725,2023-01-01,5,56
"Quantum-Annealing-Inspired Algorithms for Track Reconstruction at
  High-Energy Colliders",https://openalex.org/W4392121265,2024-02-22,1,0
"Quantum-Annealing-Inspired Algorithms for Track Reconstruction at High-Energy Colliders",https://openalex.org/W4401945270,2024-08-28,1,38
"Scaling overhead of locality reduction in binary optimization problems",https://openalex.org/W3112652870,2020-12-17,2,0
"Quantized Simulated Bifurcation for the Ising Model",https://openalex.org/W4386361403,2023-07-02,1,16
"Real-time Trading System based on Selections of Potentially Profitable, Uncorrelated, and Balanced Stocks by NP-hard Combinatorial Optimization",https://openalex.org/W4384389669,2023-01-01,1,48
"Distinguishing Between Histories of Speciation and Introgression Using Genomic Data",https://openalex.org/W4400536740,2024-07-11,1,0
"Pairs-trading System using Quantum-inspired Combinatorial Optimization Accelerator for Optimal Path Search in Market Graphs",https://openalex.org/W4384264666,2023-01-01,1,43
"Multistability of fractional-order memristor-coupled heterogeneous neurons and its hardware realization",https://openalex.org/W4293191640,2022-01-01,1,22
"<scp>spliceJAC</scp> : transition genes and state‐specific gene regulation from single‐cell transcriptome data",https://openalex.org/W4308132330,2022-11-01,28,78
"Principle and Applications of Simulated Bifurcation Machine",https://openalex.org/W3012254043,2020-03-09,0,13
"FPGA-based simulated bifurcation machine for large dataset",https://openalex.org/W4389203880,2023-01-01,0,0
"Mathematical Mechanism on Dynamical System Algorithms of the Ising Model",https://openalex.org/W3109752084,2020-12-02,0,42
"Simulated bifurcation for higher-order cost functions",https://openalex.org/W4309394451,2022-01-01,0,0
"Extrapolating tipping points and simulating non-stationary dynamics of complex systems using efficient machine learning",https://openalex.org/W4389708353,2023-01-01,0,0
"Flow-3D CFD model of bifurcated open channel flow: setup and validation",https://openalex.org/W3212519981,2021-07-01,0,0
"Community detection by simulated bifurcation",https://openalex.org/W4406052033,2024-12-30,0,0
"Simulated Bifurcation Algorithm for MIMO Detection",https://openalex.org/W4307477753,2022-01-01,0,0
"Ising Machines Using Parallel Spin Updating Algorithms for Solving Traveling Salesman Problems",https://openalex.org/W4390846320,2023-08-17,0,29
"Large-scale combinatorial optimization in real-time systems by FPGA-based accelerators for simulated bifurcation",https://openalex.org/W3176721040,2021-06-01,0,0
"Enhancing In-vehicle Multiple Object Tracking Systems with Embeddable
  Ising Machines",https://openalex.org/W4403995505,2024-10-17,0,0
"Image Denoising Using Simulated Bifurcation Based Ising Machine",https://openalex.org/W4410530728,2025-05-20,0,0
"Efficient and Scalable Architecture for Multiple-chip Implementation of Simulated Bifurcation Machines",https://openalex.org/W4389217465,2023-01-01,0,0
"Effects of local minima and bifurcation delay on combinatorial optimization with continuous variables",https://openalex.org/W4308166020,2022-01-01,0,0
"Improved Sparse Ising Optimization",https://openalex.org/W4388787358,2023-01-01,0,0
"Tool and workpiece deformation effect in the cutting speed direction on the machining dynamics",https://openalex.org/W4386225917,2023-08-01,0,32
"Accuracy and Performance Evaluation of Quantum, Classical and Hybrid
  Solvers for the Max-Cut Problem",https://openalex.org/W4405263039,2024-12-10,0,0
"Simulation study on the spread characteristics of fires and control measures in high-inclination belt conveyors",https://openalex.org/W4400271238,2024-07-03,0,13
"Formation of amorphous carbon multi-walled nanotubes from random initial configurations",https://openalex.org/W4305008452,2022-01-01,0,0
"Correlation-diversified portfolio construction by finding maximum independent set in large-scale market graph",https://openalex.org/W4385750117,2023-01-01,0,44
"Highly Versatile FPGA-Implemented Cyber Coherent Ising Machine",https://openalex.org/W4399554692,2024-06-08,0,0
"Limitations of tensor network approaches for optimization and sampling:
  A comparison against quantum and classical Ising machines",https://openalex.org/W4404987711,2024-11-25,0,0
"Inferring extreme fire theory from land surface models: from imperfect proxies to predictive power.",https://openalex.org/W4392587010,2024-03-08,0,0
"Decision letter: BrainPy, a flexible, integrative, efficient, and extensible framework for general-purpose brain dynamics programming",https://openalex.org/W4390995333,2023-06-08,0,0
"Editor's evaluation: BrainPy, a flexible, integrative, efficient, and extensible framework for general-purpose brain dynamics programming",https://openalex.org/W4390995331,2023-06-08,0,0
"Author response: BrainPy, a flexible, integrative, efficient, and extensible framework for general-purpose brain dynamics programming",https://openalex.org/W4390993196,2023-10-31,0,0
"Reviewer #3 (Public Review): Heterogeneous presynaptic receptive fields contribute to directional tuning in starburst amacrine cells",https://openalex.org/W4390274748,2023-12-27,0,0
"Reviewer #1 (Public Review): Heterogeneous presynaptic receptive fields contribute to directional tuning in starburst amacrine cells",https://openalex.org/W4390266266,2023-12-27,0,0
"eLife assessment: Heterogeneous presynaptic receptive fields contribute to directional tuning in starburst amacrine cells",https://openalex.org/W4390274566,2023-12-27,0,0
"Author Response: Heterogeneous presynaptic receptive fields contribute to directional tuning in starburst amacrine cells",https://openalex.org/W4390274730,2023-12-27,0,0
"Reviewer #2 (Public Review): Heterogeneous presynaptic receptive fields contribute to directional tuning in starburst amacrine cells",https://openalex.org/W4390266174,2023-12-27,0,0
